species,cultivar,repetition,split,iqr,rmse,mean_bias,rpiq_adj
Almond,Abiodh de Sfax,1,Calibration,9,7.4,1.2,1.2
Almond,Abiodh de Sfax,1,Validation,9,13.0,5.2,0.7
Almond,Abiodh de Sfax,2,Calibration,9,9.1,-0.4,1.0
Almond,Abiodh de Sfax,2,Validation,9,5.9,-5.5,1.5
Almond,Abiodh de Sfax,3,Calibration,9,8.9,0.2,1.0
Almond,Abiodh de Sfax,3,Validation,9,6.3,0.8,1.4
Almond,Abiodh de Sfax,4,Calibration,9,8.0,-0.2,1.1
Almond,Abiodh de Sfax,4,Validation,9,6.2,-2.8,1.5
Almond,Abiodh de Sfax,5,Calibration,9,5.7,0.1,1.6
Almond,Abiodh de Sfax,5,Validation,9,15.0,-5.8,0.6
Almond,Abiodh de Sfax,6,Calibration,9,7.4,0.7,1.2
Almond,Abiodh de Sfax,6,Validation,9,10.8,1.2,0.8
Almond,Abiodh de Sfax,7,Calibration,9,8.8,0.0,1.0
Almond,Abiodh de Sfax,7,Validation,9,5.7,-3.3,1.6
Almond,Abiodh de Sfax,8,Calibration,9,8.4,1.3,1.1
Almond,Abiodh de Sfax,8,Validation,9,4.1,-0.7,2.2
Almond,Abiodh de Sfax,9,Calibration,9,7.9,-0.1,1.1
Almond,Abiodh de Sfax,9,Validation,9,11.5,-1.8,0.8
Almond,Abiodh de Sfax,10,Calibration,9,7.3,0.2,1.2
Almond,Abiodh de Sfax,10,Validation,9,12.8,-8.1,0.7
Almond,Abiodh Ras Djebel,1,Calibration,8.5,5.9,0.0,1.4
Almond,Abiodh Ras Djebel,1,Validation,8.5,8.7,1.6,1.0
Almond,Abiodh Ras Djebel,2,Calibration,8.5,5.8,0.2,1.5
Almond,Abiodh Ras Djebel,2,Validation,8.5,7.9,-4.1,1.1
Almond,Abiodh Ras Djebel,3,Calibration,8.5,6.2,0.2,1.4
Almond,Abiodh Ras Djebel,3,Validation,8.5,6.6,0.4,1.3
Almond,Abiodh Ras Djebel,4,Calibration,8.5,6.4,0.1,1.3
Almond,Abiodh Ras Djebel,4,Validation,8.5,7.0,-1.8,1.2
Almond,Abiodh Ras Djebel,5,Calibration,8.5,2.7,0.1,3.1
Almond,Abiodh Ras Djebel,5,Validation,8.5,12.5,0.0,0.7
Almond,Abiodh Ras Djebel,6,Calibration,8.5,3.0,-0.5,2.8
Almond,Abiodh Ras Djebel,6,Validation,8.5,12.3,7.1,0.7
Almond,Abiodh Ras Djebel,7,Calibration,8.5,6.2,0.6,1.4
Almond,Abiodh Ras Djebel,7,Validation,8.5,8.4,-6.9,1.0
Almond,Abiodh Ras Djebel,8,Calibration,8.5,5.8,0.2,1.5
Almond,Abiodh Ras Djebel,8,Validation,8.5,6.0,0.8,1.4
Almond,Abiodh Ras Djebel,9,Calibration,8.5,6.4,0.2,1.3
Almond,Abiodh Ras Djebel,9,Validation,8.5,6.2,-3.2,1.4
Almond,Abiodh Ras Djebel,10,Calibration,8.5,4.3,-0.3,2.0
Almond,Abiodh Ras Djebel,10,Validation,8.5,10.6,3.7,0.8
Almond,Achaak,1,Calibration,11.5,6.2,0.2,1.8
Almond,Achaak,1,Validation,11.5,8.6,-2.8,1.3
Almond,Achaak,2,Calibration,11.5,7.1,-1.0,1.6
Almond,Achaak,2,Validation,11.5,9.2,3.0,1.3
Almond,Achaak,3,Calibration,11.5,6.3,0.5,1.8
Almond,Achaak,3,Validation,11.5,7.6,0.9,1.5
Almond,Achaak,4,Calibration,11.5,6.4,-0.3,1.8
Almond,Achaak,4,Validation,11.5,8.4,2.8,1.4
Almond,Achaak,5,Calibration,11.5,5.1,-0.4,2.3
Almond,Achaak,5,Validation,11.5,13.3,-3.6,0.9
Almond,Achaak,6,Calibration,11.5,6.2,-0.1,1.9
Almond,Achaak,6,Validation,11.5,10.4,-6.4,1.1
Almond,Achaak,7,Calibration,11.5,6.4,-0.8,1.8
Almond,Achaak,7,Validation,11.5,11.0,-7.1,1.0
Almond,Achaak,8,Calibration,11.5,7.2,0.0,1.6
Almond,Achaak,8,Validation,11.5,6.5,-3.6,1.8
Almond,Achaak,9,Calibration,11.5,5.7,0.3,2.0
Almond,Achaak,9,Validation,11.5,9.6,0.7,1.2
Almond,Achaak,10,Calibration,11.5,4.7,0.5,2.5
Almond,Achaak,10,Validation,11.5,12.3,0.7,0.9
Almond,Avola,1,Calibration,12,6.5,0.1,1.8
Almond,Avola,1,Validation,12,13.4,-10.7,0.9
Almond,Avola,2,Calibration,12,4.4,0.6,2.7
Almond,Avola,2,Validation,12,13.7,2.5,0.9
Almond,Avola,3,Calibration,12,4.7,0.6,2.5
Almond,Avola,3,Validation,12,11.7,5.0,1.0
Almond,Avola,4,Calibration,12,6.0,0.1,2.0
Almond,Avola,4,Validation,12,12.3,8.2,1.0
Almond,Avola,5,Calibration,12,6.7,0.2,1.8
Almond,Avola,5,Validation,12,9.1,-3.7,1.3
Almond,Avola,6,Calibration,12,7.0,0.5,1.7
Almond,Avola,6,Validation,12,7.2,3.1,1.7
Almond,Avola,7,Calibration,12,7.0,-0.3,1.7
Almond,Avola,7,Validation,12,6.7,-3.4,1.8
Almond,Avola,8,Calibration,12,7.1,0.2,1.7
Almond,Avola,8,Validation,12,9.8,-5.0,1.2
Almond,Avola,9,Calibration,12,7.8,-0.7,1.5
Almond,Avola,9,Validation,12,14.7,-9.2,0.8
Almond,Avola,10,Calibration,12,7.0,0.7,1.7
Almond,Avola,10,Validation,12,11.0,-1.4,1.1
Almond,Bonifacio,1,Calibration,13,6.3,0.4,2.1
Almond,Bonifacio,1,Validation,13,7.6,1.3,1.7
Almond,Bonifacio,2,Calibration,13,6.7,-0.1,1.9
Almond,Bonifacio,2,Validation,13,6.9,-4.8,1.9
Almond,Bonifacio,3,Calibration,13,6.6,0.7,2.0
Almond,Bonifacio,3,Validation,13,5.2,3.4,2.5
Almond,Bonifacio,4,Calibration,13,7.1,1.3,1.8
Almond,Bonifacio,4,Validation,13,7.2,0.8,1.8
Almond,Bonifacio,5,Calibration,13,5.6,-0.3,2.3
Almond,Bonifacio,5,Validation,13,7.6,-0.9,1.7
Almond,Bonifacio,6,Calibration,13,7.0,0.5,1.9
Almond,Bonifacio,6,Validation,13,5.7,1.8,2.3
Almond,Bonifacio,7,Calibration,13,5.9,-0.1,2.2
Almond,Bonifacio,7,Validation,13,9.2,-7.4,1.4
Almond,Bonifacio,8,Calibration,13,3.3,-0.4,3.9
Almond,Bonifacio,8,Validation,13,12.9,3.4,1.0
Almond,Bonifacio,9,Calibration,13,6.6,-0.1,2.0
Almond,Bonifacio,9,Validation,13,5.0,-3.6,2.6
Almond,Bonifacio,10,Calibration,13,4.4,0.3,3.0
Almond,Bonifacio,10,Validation,13,11.7,6.0,1.1
Almond,Bruantine,1,Calibration,11,6.6,0.1,1.7
Almond,Bruantine,1,Validation,11,13.3,3.7,0.8
Almond,Bruantine,2,Calibration,11,7.3,0.7,1.5
Almond,Bruantine,2,Validation,11,4.3,-0.3,2.6
